Size,Environment,Kind,Result,Time
194,Johnson,no loop,no cycle,0.00258
195,Johnson,loop,cycle found,0.00493
196,Johnson,no loop,no cycle,0.0024
197,Johnson,loop,cycle found,0.00736
198,Johnson,no loop,no cycle,0.00181
199,Johnson,loop,cycle found,0.00727
200,Johnson,no loop,no cycle,0.00206
201,Johnson,loop,cycle found,0.0051
202,Johnson,no loop,no cycle,0.00227
203,Johnson,loop,cycle found,0.0053
204,Johnson,no loop,no cycle,0.00274
205,Johnson,loop,cycle found,0.0048
206,Johnson,no loop,no cycle,0.00195
207,Johnson,loop,cycle found,0.00487
208,Johnson,no loop,no cycle,0.00205
209,Johnson,loop,cycle found,0.00526
210,Johnson,no loop,no cycle,0.00188
211,Johnson,loop,cycle found,0.00512
212,Johnson,no loop,no cycle,0.00193
213,Johnson,loop,cycle found,0.0051
214,Johnson,no loop,no cycle,0.00193
215,Johnson,loop,cycle found,0.00496
216,Johnson,no loop,no cycle,0.00261
217,Johnson,loop,cycle found,0.00621
218,Johnson,no loop,no cycle,0.00194
219,Johnson,loop,cycle found,0.00524
220,Johnson,no loop,no cycle,0.00212
221,Johnson,loop,cycle found,0.00552
222,Johnson,no loop,no cycle,0.00255
223,Johnson,loop,cycle found,0.00519
224,Johnson,no loop,no cycle,0.00204
225,Johnson,loop,cycle found,0.00569
226,Johnson,no loop,no cycle,0.00218
227,Johnson,loop,cycle found,0.0054
228,Johnson,no loop,no cycle,0.00294
229,Johnson,loop,cycle found,0.00692
230,Johnson,no loop,no cycle,0.00282
231,Johnson,loop,cycle found,0.00562
232,Johnson,no loop,no cycle,0.00203
233,Johnson,loop,cycle found,0.0056
234,Johnson,no loop,no cycle,0.00211
235,Johnson,loop,cycle found,0.00577
236,Johnson,no loop,no cycle,0.00208
237,Johnson,loop,cycle found,0.00586
238,Johnson,no loop,no cycle,0.00207
239,Johnson,loop,cycle found,0.00599
240,Johnson,no loop,no cycle,0.00219
241,Johnson,loop,cycle found,0.00632
242,Johnson,no loop,no cycle,0.00379
243,Johnson,loop,cycle found,0.00742
244,Johnson,no loop,no cycle,0.00217
245,Johnson,loop,cycle found,0.00656
246,Johnson,no loop,no cycle,0.0022
247,Johnson,loop,cycle found,0.0062
248,Johnson,no loop,no cycle,0.00213
249,Johnson,loop,cycle found,0.0067
250,Johnson,no loop,no cycle,0.00252
251,Johnson,loop,cycle found,0.00654
252,Johnson,no loop,no cycle,0.00218
253,Johnson,loop,cycle found,0.00736
254,Johnson,no loop,no cycle,0.00241
255,Johnson,loop,cycle found,0.00626
