Size,Environment,Kind,Result,Time
124,Alloy,no loop,passed,38.28181
125,Alloy,loop,failed,43.09552
124,CSP,no loop,passed,2.75651
125,CSP,loop,failed,2.9272
126,Alloy,no loop,passed,46.63827
127,Alloy,loop,failed,41.43527
126,CSP,no loop,passed,2.72968
127,CSP,loop,failed,3.01542
128,Alloy,no loop,passed,46.66803
129,Alloy,loop,failed,57.71809
128,CSP,no loop,passed,3.06714
129,CSP,loop,failed,3.44931
130,Alloy,no loop,passed,59.50325
131,Alloy,loop,failed,60.73909
130,CSP,no loop,passed,3.20085
131,CSP,loop,failed,3.30509
132,Alloy,no loop,passed,61.93941
133,Alloy,loop,failed,64.33881
132,CSP,no loop,passed,3.33447
133,CSP,loop,failed,3.44183
134,Alloy,no loop,passed,65.93672
135,Alloy,loop,failed,66.92823
134,CSP,no loop,passed,3.50548
135,CSP,loop,failed,3.97587
136,Alloy,no loop,passed,69.70849
137,Alloy,loop,failed,73.33208
136,CSP,no loop,passed,3.66744
137,CSP,loop,failed,3.78553
138,Alloy,no loop,passed,71.32328
139,Alloy,loop,failed,72.31525
138,CSP,no loop,passed,3.79331
139,CSP,loop,failed,4.08284
140,Alloy,no loop,passed,72.2072
141,Alloy,loop,failed,75.6979
140,CSP,no loop,passed,4.12409
141,CSP,loop,failed,4.08483
142,Alloy,no loop,passed,76.37732
143,Alloy,loop,failed,80.29729
142,CSP,no loop,passed,4.45279
143,CSP,loop,failed,4.51858
144,Alloy,no loop,passed,77.27953
145,Alloy,loop,failed,81.66188
144,CSP,no loop,passed,4.70519
145,CSP,loop,failed,4.64657
146,Alloy,no loop,passed,83.14657
147,Alloy,loop,failed,98.7779
146,CSP,no loop,passed,4.7344
147,CSP,loop,failed,5.04948
148,Alloy,no loop,passed,100.43286
149,Alloy,loop,failed,104.38643
148,CSP,no loop,passed,4.72162
149,CSP,loop,failed,5.26881
150,Alloy,no loop,passed,106.12313
151,Alloy,loop,failed,120.90819
150,CSP,no loop,passed,4.92549
151,CSP,loop,failed,4.9914
152,Alloy,no loop,passed,117.53859
153,Alloy,loop,failed,122.14996
152,CSP,no loop,passed,5.06257
153,CSP,loop,failed,5.14625
154,Alloy,no loop,passed,132.34767
155,Alloy,loop,failed,135.49524
154,CSP,no loop,passed,5.14313
155,CSP,loop,failed,5.43441
156,Alloy,no loop,passed,138.58199
157,Alloy,loop,failed,142.65444
156,CSP,no loop,passed,5.37186
157,CSP,loop,failed,5.62781
158,Alloy,no loop,passed,141.476
159,Alloy,loop,failed,144.25057
158,CSP,no loop,passed,5.72563
159,CSP,loop,failed,5.7896
160,Alloy,no loop,passed,149.6315
161,Alloy,loop,failed,159.97453
160,CSP,no loop,passed,5.94915
161,CSP,loop,failed,6.19794
162,Alloy,no loop,passed,161.85041
163,Alloy,loop,failed,161.69484
162,CSP,no loop,passed,6.18819
163,CSP,loop,failed,6.37576
164,Alloy,no loop,passed,173.51827
165,Alloy,loop,failed,187.38944
164,CSP,no loop,passed,6.50089
165,CSP,loop,failed,6.66058
166,Alloy,no loop,passed,187.21335
167,Alloy,loop,failed,204.87168
166,CSP,no loop,passed,6.59005
167,CSP,loop,failed,7.09438
168,Alloy,no loop,passed,214.09973
169,Alloy,loop,failed,237.17657
168,CSP,no loop,passed,7.88201
169,CSP,loop,failed,7.84155
170,Alloy,no loop,passed,271.73412
171,Alloy,loop,failed,308.42274
170,CSP,no loop,passed,8.28807
171,CSP,loop,failed,8.53588
172,Alloy,no loop,passed,408.96389
173,Alloy,loop,failed,652.59086
172,CSP,no loop,passed,7.83235
173,CSP,loop,failed,8.05514
