N,Size,Environment,Kind,Result,Time
165,336,CSP,no loop,no cycle,81.41285
165,337,CSP,loop,cycle found,85.27616
166,338,CSP,no loop,no cycle,88.89997
166,339,CSP,loop,cycle found,86.3994
167,340,CSP,no loop,no cycle,92.0103
167,341,CSP,loop,cycle found,93.30665
168,342,CSP,no loop,no cycle,90.60544
168,343,CSP,loop,cycle found,95.18699
169,344,CSP,no loop,no cycle,87.15214
169,345,CSP,loop,cycle found,91.65372
170,346,CSP,no loop,no cycle,93.02757
170,347,CSP,loop,cycle found,96.40547
171,348,CSP,no loop,no cycle,93.76588
171,349,CSP,loop,cycle found,99.9378
172,350,CSP,no loop,no cycle,94.63934
172,351,CSP,loop,cycle found,96.87502
173,352,CSP,no loop,no cycle,101.70291
173,353,CSP,loop,cycle found,105.39234
174,354,CSP,no loop,no cycle,102.30728
174,355,CSP,loop,cycle found,103.05042
175,356,CSP,no loop,no cycle,110.39125
175,357,CSP,loop,cycle found,108.98675
176,358,CSP,no loop,no cycle,100.74159
176,359,CSP,loop,cycle found,103.91864
177,360,CSP,no loop,no cycle,103.91003
177,361,CSP,loop,cycle found,109.52428
178,362,CSP,no loop,no cycle,115.71013
178,363,CSP,loop,cycle found,111.47936
179,364,CSP,no loop,no cycle,116.03896
179,365,CSP,loop,cycle found,110.06586
180,366,CSP,no loop,no cycle,115.7598
180,367,CSP,loop,cycle found,110.68895
181,368,CSP,no loop,no cycle,114.7422
181,369,CSP,loop,cycle found,114.76141
182,370,CSP,no loop,no cycle,114.40356
182,371,CSP,loop,cycle found,119.03839
183,372,CSP,no loop,no cycle,115.65058
183,373,CSP,loop,cycle found,115.55437
184,374,CSP,no loop,no cycle,115.68139
184,375,CSP,loop,cycle found,117.71068
185,376,CSP,no loop,no cycle,128.24467
185,377,CSP,loop,cycle found,122.79397
186,378,CSP,no loop,no cycle,127.50681
186,379,CSP,loop,cycle found,139.99242
187,380,CSP,no loop,no cycle,135.27805
187,381,CSP,loop,cycle found,130.73386
188,382,CSP,no loop,no cycle,126.20947
188,383,CSP,loop,cycle found,134.8605
189,384,CSP,no loop,no cycle,137.14573
189,385,CSP,loop,cycle found,147.91056
190,386,CSP,no loop,no cycle,136.86364
190,387,CSP,loop,cycle found,141.30522
191,388,CSP,no loop,no cycle,142.16898
191,389,CSP,loop,cycle found,147.97931
192,390,CSP,no loop,no cycle,146.12145
192,391,CSP,loop,cycle found,147.26626
193,392,CSP,no loop,no cycle,138.85869
193,393,CSP,loop,cycle found,147.7142
194,394,CSP,no loop,no cycle,145.23893
194,395,CSP,loop,cycle found,146.05183
195,396,CSP,no loop,no cycle,167.39739
195,397,CSP,loop,cycle found,154.76403
196,398,CSP,no loop,no cycle,153.02132
196,399,CSP,loop,cycle found,157.27533
197,400,CSP,no loop,no cycle,157.32473
197,401,CSP,loop,cycle found,159.43428
198,402,CSP,no loop,no cycle,159.36888
198,403,CSP,loop,cycle found,165.07915
199,404,CSP,no loop,no cycle,169.52493
199,405,CSP,loop,cycle found,163.17146
200,406,CSP,no loop,no cycle,162.52609
200,407,CSP,loop,cycle found,168.05242
